"학교생활 만족도","나의 흥미와 적성, 희망직업(꿈)에 대한 부모님(보호자)과 대화 빈도","학교 및 학과 선택에 대한 부모님과 대화 빈도","공부(학습)와 성적에 대한 부모님(보호자)과 대화 빈도"
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,4,5
4,4,5,1
4,4,5,2
4,4,5,2
4,4,5,2
4,4,5,3
4,4,5,3
4,4,5,3
4,4,5,3
4,4,5,3
4,4,5,3
4,4,5,3
4,4,5,3
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,4,5,5
4,5,1,1
4,5,1,1
4,5,1,3
4,5,1,3
4,5,2,1
4,5,2,1
4,5,2,2
4,5,2,2
4,5,2,4
4,5,2,5
4,5,3,1
4,5,3,1
4,5,3,1
4,5,3,1
4,5,3,2
4,5,3,2
4,5,3,2
4,5,3,2
4,5,3,2
4,5,3,2
4,5,3,3
4,5,3,3
4,5,3,3
4,5,3,3
4,5,3,3
4,5,3,3
4,5,3,3
4,5,3,3
4,5,3,3
4,5,3,3
4,5,3,3
4,5,3,4
4,5,3,4
4,5,3,4
4,5,3,4
4,5,3,5
4,5,3,5
4,5,3,5
4,5,3,5
4,5,3,5
4,5,3,5
4,5,3,5
4,5,3,5
4,5,4,1
4,5,4,1
4,5,4,1
4,5,4,1
4,5,4,2
4,5,4,2
4,5,4,2
4,5,4,2
4,5,4,2
4,5,4,3
4,5,4,3
4,5,4,3
4,5,4,3
4,5,4,3
4,5,4,3
4,5,4,3
4,5,4,3
4,5,4,3
4,5,4,3
4,5,4,3
4,5,4,3
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,4
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,4,5
4,5,5,1
4,5,5,1
4,5,5,1
4,5,5,1
4,5,5,1
4,5,5,1
4,5,5,1
4,5,5,1
4,5,5,2
4,5,5,2
4,5,5,2
4,5,5,2
4,5,5,2
4,5,5,2
4,5,5,2
4,5,5,2
4,5,5,2
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,3
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,4
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
4,5,5,5
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,2
5,1,1,3
5,1,1,3
5,1,1,3
5,1,1,3
5,1,1,3
5,1,1,3
5,1,1,3
5,1,1,3
5,1,1,3
5,1,1,3
5,1,1,3
5,1,1,4
5,1,1,4
5,1,1,4
5,1,1,4
5,1,1,4
5,1,1,4
5,1,1,4
5,1,1,4
5,1,1,4
5,1,1,4
5,1,1,4
5,1,1,5
5,1,1,5
5,1,1,5
5,1,1,5
5,1,1,5
5,1,1,5
5,1,1,5
5,1,1,5
5,1,1,5
5,1,1,5
5,1,2,1
5,1,2,1
5,1,2,1
5,1,2,1
5,1,2,1
5,1,2,1
5,1,2,1
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,3
5,1,2,3
5,1,2,3
5,1,2,3
5,1,2,3
5,1,2,3
5,1,2,3
5,1,2,3
5,1,2,3
5,1,2,3
5,1,2,4
5,1,2,5
5,1,2,5
5,1,2,5
5,1,2,5
5,1,2,5
5,1,3,1
5,1,3,1
5,1,3,1
5,1,3,1
5,1,3,2
5,1,3,2
5,1,3,3
5,1,3,3
5,1,3,3
5,1,3,3
5,1,3,3
5,1,3,4
5,1,3,4
5,1,3,4
5,1,3,4
5,1,3,4
5,1,3,5
5,1,4,3
5,1,4,3
5,1,4,3
5,1,4,4
5,1,4,5
5,1,4,5
5,1,5,5
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,1
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,2
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,3
5,2,1,4
5,2,1,4
5,2,1,4
5,2,1,4
5,2,1,4
5,2,1,4
5,2,1,4
5,2,1,4
5,2,1,4
5,2,1,4
5,2,1,4
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,1
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
5,2,2,3
