순위,영화명,관객수 ,상영횟수 ,등급 ,장르 
1,극한직업,"16,263,074","292,550",15세이상관람가,코미디
2,신과함께-인과 연,"12,276,115","179,986",12세이상관람가,"판타지,드라마"
3,안시성,"5,441,020","110,444",12세이상관람가,"사극,액션"
4,완벽한 타인,"5,294,119","143,072",15세이상관람가,"드라마,코미디"
5,공작,"4,975,142","99,117",12세이상관람가,드라마
6,암수살인,"3,789,321","126,127",15세이상관람가,"범죄,드라마"
7,국가부도의 날,"3,755,133","101,074",12세이상관람가,드라마
8,돈,"3,389,035","120,808",15세이상관람가,범죄
9,악인전,"3,230,914","90,036",청소년관람불가,"범죄,액션"
10,마녀,"3,189,091","90,843",15세이상관람가,"미스터리,액션"
11,탐정: 리턴즈,"3,148,038","107,883",15세이상관람가,"코미디,범죄"
12,말모이,"2,865,323","87,831",12세이상관람가,드라마
13,너의 결혼식,"2,820,969","98,193",12세이상관람가,멜로/로맨스
14,증인,"2,534,075","89,556",12세이상관람가,드라마
15,목격자,"2,524,720","71,403",15세이상관람가,스릴러
16,독전,"2,514,153","80,906",15세이상관람가,"범죄,액션"
17,사바하,"2,398,519","78,094",15세이상관람가,"미스터리,스릴러"
18,기생충,"2,372,457","27,017",15세이상관람가,드라마
19,명당,"2,087,474","58,450",12세이상관람가,사극
20,협상,"1,967,721","57,926",15세이상관람가,범죄
21,내안의 그놈,"1,916,855","61,744",15세이상관람가,"판타지,코미디"
22,마약왕,"1,864,076","45,453",청소년관람불가,"범죄,드라마"
23,뺑반,"1,826,714","47,213",15세이상관람가,"범죄,액션"
24,PMC: 더 벙커,"1,671,548","49,806",15세이상관람가,액션
25,걸캅스,"1,614,840","62,218",15세이상관람가,"코미디,액션"
26,창궐,"1,599,598","60,689",15세이상관람가,"사극,액션"
27,성난황소,"1,593,386","48,932",15세이상관람가,"범죄,액션"
28,도어락,"1,561,258","53,836",15세이상관람가,"스릴러,드라마"
29,스윙키즈,"1,472,931","42,244",12세이상관람가,드라마
30,나의 특별한 형제,"1,470,207","49,810",12세이상관람가,"드라마,코미디"
31,생일,"1,196,659","71,786",전체관람가,드라마
32,인랑,"898,945","25,427",15세이상관람가,"SF,액션"
33,극장판 헬로카봇 : 백악기 시대,"879,682","16,178",전체관람가,애니메이션
34,상류사회,"768,442","41,725",청소년관람불가,드라마
35,뽀로로 극장판 보물섬 대모험,"762,319","19,864",전체관람가,"애니메이션,가족"
36,물괴,"723,622","46,022",15세이상관람가,"액션,사극"
37,미쓰백,"722,560","41,965",15세이상관람가,드라마
38,신비아파트: 금빛 도깨비와 비밀의 동굴,"678,091","16,175",전체관람가,"애니메이션,판타지,어드벤처"
39,극장판 헬로카봇: 옴파로스 섬의 비밀,"575,353","15,826",전체관람가,애니메이션
40,점박이 한반도의 공룡2 : 새로운 낙원,"550,145","12,584",전체관람가,애니메이션
41,변산,"490,519","27,504",15세이상관람가,드라마
42,동네사람들,"461,693","23,598",15세이상관람가,"액션,스릴러"
43,원더풀 고스트,"450,378","14,003",12세이상관람가,"코미디,드라마,범죄"
44,극장판 공룡메카드: 타이니소어의 섬,"410,273","15,121",전체관람가,애니메이션
45,러브 유어셀프 인 서울,"342,366","4,535",전체관람가,공연
46,허스토리,"336,822","20,406",12세이상관람가,드라마
47,번 더 스테이지: 더 무비,"315,010","4,714",전체관람가,기타
48,미성년,"293,258","27,310",15세이상관람가,드라마
49,배심원들,"281,763","20,015",12세이상관람가,드라마
50,기묘한 가족,"263,322","15,311",12세이상관람가,"코미디,가족"
51,악질경찰,"262,233","22,785",청소년관람불가,"범죄,드라마"
52,속닥속닥,"217,444","8,246",15세이상관람가,"공포(호러),미스터리"
53,언니,"198,377","11,321",청소년관람불가,액션
54,언더독,"193,922","10,751",전체관람가,애니메이션
55,어린 의뢰인,"191,273","16,552",12세이상관람가,"드라마,가족"
56,런닝맨 : 풀룰루의 역습,"187,777","5,535",전체관람가,애니메이션
57,우상,"183,784","18,545",15세이상관람가,스릴러
58,자전차왕 엄복동,"172,212","11,245",12세이상관람가,드라마
59,독전: 익스텐디드 컷,"137,871","5,656",15세이상관람가,"범죄,액션"
60,크게 될 놈,"99,944","7,880",15세이상관람가,드라마
61,여중생A,"97,986","10,243",12세이상관람가,드라마
62,그대 이름은 장미,"89,238","7,709",12세이상관람가,코미디
63,0.0MHz,"85,289","3,183",15세이상관람가,공포(호러)
64,여곡성,"67,368","4,463",15세이상관람가,"공포(호러),미스터리"
65,왓칭,"55,366","8,514",15세이상관람가,"공포(호러),스릴러"
66,번개맨의 비밀,"51,040","2,273",전체관람가,"가족,뮤지컬"
67,버닝,"44,316","3,900",청소년관람불가,미스터리
68,극장판 뽀잉: 슈퍼 변신의 비밀,"41,054","2,847",전체관람가,애니메이션
68,배반의 장미,"41,054","6,927",15세이상관람가,코미디
70,썬키스 패밀리,"31,742","4,922",15세이상관람가,"가족,멜로/로맨스,코미디"
71,해피 투게더,"27,046","2,322",12세이상관람가,"드라마,코미디"
72,데자뷰,"25,262","4,834",15세이상관람가,"미스터리,스릴러"
73,트와이스랜드,"18,252",572,전체관람가,다큐멘터리
74,해적왕 작스톰,"5,916",441,전체관람가,애니메이션
75,불한당: 나쁜 놈들의 세상,"4,944",199,청소년관람불가,"범죄,액션,드라마"
76,안나 카레니나,"4,571",140,12세이상관람가,뮤지컬
77,미친도시,"3,452",50,15세이상관람가,드라마
78,리벤져,"3,232",369,15세이상관람가,액션
79,인디애니페스트 2018 새벽비행 2,"3,127",29,,애니메이션
80,덕구,"2,651",22,전체관람가,드라마
81,Replay_내일+미지와의 조우+알송달송,"2,628",25,,뮤지컬
82,레슬러,"2,562",138,15세이상관람가,"드라마,코미디"
83,리틀 포레스트,"2,309",32,전체관람가,드라마
84,살인의 추억,"1,868",68,15세관람가,스릴러
85,마더,"1,772",66,청소년관람불가,드라마
86,그것만이 내 세상,"1,710",17,12세이상관람가,"코미디,드라마"
87,롱 리브 더 킹: 목포 영웅,"1,666",8,15세이상관람가,"액션,드라마"
88,인디애니페스트 2018 새벽비행 1,"1,508",12,,애니메이션
89,산딸기 2,"1,499",15,연소자관람불가,"드라마,멜로/로맨스"
90,아이 캔 스피크,"1,492",14,12세이상관람가,코미디
91,게이트-완결판,"1,408",37,15세이상관람가,"범죄,코미디"
92,박쥐,"1,217",107,청소년관람불가,"공포(호러),드라마"
93,맞짱,"1,144",83,청소년관람불가,"액션,범죄"
94,복수는 나의 것,"1,118",101,18세관람가,"범죄,스릴러"
95,친절한 금자씨,"1,089",107,18세관람가,스릴러
96,꽃찌: 독이 있는 사랑,"1,067",23,청소년관람불가,드라마
97,챔피언,"1,055",12,12세이상관람가,드라마
98,종각,"1,012",35,,드라마
99,산딸기,985,15,연소자관람불가,멜로/로맨스
100,지금 만나러 갑니다,974,116,12세이상관람가,멜로/로맨스
101,택시운전사,830,9,15세이상관람가,드라마
102,인목대비,807,13,,사극
103,내시,803,32,,드라마
104,2019 한국영화아카데미 35기 졸업영화제 개막작,800,5,,드라마
105,초대받은 사람들,771,12,연소자관람가,드라마
106,1987,749,12,15세이상관람가,드라마
107,신과함께-죄와 벌,748,19,12세이상관람가,"판타지,드라마"
108,비밥바룰라,746,5,12세이상관람가,코미디
109,설국열차,726,52,15세이상관람가,"SF,액션"
110,SESIFF2018 제2기 영등포 초단편영화 아카데미,713,2,,기타
111,2019 한국영화아카데미 35기 졸업영화제 섹션A,695,6,,드라마
112,2019 한국영화아카데미 35기 졸업영화제 섹션B,694,6,,드라마
113,2019 한국영화아카데미 35기 졸업영화제 섹션C,692,6,,드라마
114,추하 내사랑,678,15,전체관람가,"드라마,멜로/로맨스"
115,인천상륙작전,675,2,12세이상관람가,"전쟁,드라마"
116,자유만세,634,36,청소년관람불가,드라마
117,이어도,617,17,청소년관람불가,드라마
118,로맨스그레이,615,20,12세이상관람가,"드라마,멜로/로맨스"
119,육체의 약속,606,14,12세이상관람가,멜로/로맨스
120,동주,563,4,12세이상관람가,드라마
121,로드킬,542,51,청소년관람불가,"공포(호러),스릴러"
122,1월 단편 상상극장-더 비기닝,531,7,,기타
123,노리개: 그녀의 눈물,530,3,15세이상관람가,드라마
124,혈투,515,11,15세이상관람가,"액션,사극"
125,왕자 호동,509,12,,사극
126,감시자들,488,38,15세이상관람가,"범죄,액션"
127,부산행,479,113,15세이상관람가,"액션,스릴러"
128,SPFF 2018 얼음강+백서,471,5,,드라마
129,양아치 느와르,455,59,청소년관람불가,"드라마,코미디"
130,MSFF2018 희극지왕 3,454,3,,코미디
131,점박이:한반도의 공룡3D,453,5,전체관람가,"애니메이션,어드벤처,액션"
132,2018_hyukoh_24howtofindtrueloveandhappiness.proproj,449,13,,다큐멘터리
133,MSFF2018 사랑에 관한 짧은 필름 1,444,3,,"멜로/로맨스,드라마"
134,내 엄마의 친구 2,440,26,청소년관람불가,멜로/로맨스
135,SIFF2018-통일기획전 2,439,5,,기타
136,친구엄마 2018,436,22,청소년관람불가,멜로/로맨스
137,MSFF2018 4만번의 구타 2,400,3,,"액션,스릴러"
138,MSFF2018 비정성시 1,394,3,,드라마
139,MSFF2018 비정성시 3,392,3,,드라마
140,MSFF2018 사랑에 관한 짧은 필름 2,387,3,,"멜로/로맨스,드라마"
141,MSFF2018 희극지왕 1,375,3,,코미디
142,산딸기 5,374,14,연소자관람불가,"드라마,멜로/로맨스,성인물(에로)"
143,MSFF2018 희극지왕 2,373,3,,코미디
144,MSFF2018 비정성시 4,369,3,,드라마
145,금욕,352,6,12세이상관람가,"드라마,멜로/로맨스"
146,2018 중앙영화제 일출,348,3,,기타
146,MSFF2018 4만번의 구타 1,348,3,,"액션,스릴러"
148,암살,336,2,15세이상관람가,"액션,드라마"
148,진시황제와 만리장성,336,11,,드라마
148,착한 친구엄마,336,20,청소년관람불가,멜로/로맨스
151,돼지꿈,333,6,,
152,MSFF2018 비정성시 2,332,3,,드라마
153,덕혜옹주,330,2,12세이상관람가,"사극,드라마"
154,곤지암,324,85,15세이상관람가,"공포(호러),스릴러"
155,살인나비를 쫓는 여자,318,4,국민학생관람불가,"드라마,멜로/로맨스"
156,뽀로로 극장판 공룡섬 대모험,317,25,전체관람가,애니메이션
157,SIFF2018-개막식,306,1,,기타
158,MSFF2018 절대악몽 3,305,2,,"공포(호러),판타지"
159,MSFF2018 사랑에 관한 짧은 필름 3,304,3,,"멜로/로맨스,드라마"
160,충녀,303,5,12세이상관람가,드라마
161,SIFF2018-폐막식,296,1,,기타
162,여기자 20년,293,8,전체관람가,"드라마,사극"
163,악인이여 지옥행 열차를 타라,287,8,12세이상관람가,액션
164,마당을 나온 암탉,279,23,전체관람가,애니메이션
165,가을비 우산속에,278,8,국민학생관람불가,"드라마,멜로/로맨스"
165,야광,278,8,,다큐멘터리
167,박열,274,2,12세이상관람가,드라마
168,명량,271,2,15세이상관람가,"사극,액션"
169,아가씨 참으세요,270,8,국민학생관람불가,"드라마,범죄"
169,흑룡강,270,8,,액션
171,플란다스의 개,269,4,12세관람가,"드라마,코미디"
172,자유부인,264,9,청소년관람불가,드라마
173,화녀 '82,262,4,연소자관람불가,"드라마,범죄,스릴러"
174,만추,258,8,연소자관람불가,"드라마,멜로/로맨스"
175,엄마 애인 3,256,39,청소년관람불가,멜로/로맨스
176,2019 한국영화아카데미 35기 졸업영화제 실습1,255,4,,드라마
177,음란 과외 2,250,39,청소년관람불가,멜로/로맨스
178,나를 기억해,247,2,청소년관람불가,"미스터리,범죄,스릴러"
179,MSFF2018 절대악몽 1,246,2,,"공포(호러),판타지"
180,국가 성생활 관리위원회-무삭제판,244,20,청소년관람불가,멜로/로맨스
180,그녀의 하드코어-무삭제판,244,20,청소년관람불가,멜로/로맨스
180,김본좌의 야동남녀- 무삭제판,244,20,청소년관람불가,멜로/로맨스
180,내 여자의 정사: 감독판,244,20,청소년관람불가,멜로/로맨스
180,마지막 정사: 여럿이 다같이-무삭제판,244,20,청소년관람불가,멜로/로맨스
180,맛있는 스와핑,244,20,청소년관람불가,멜로/로맨스
180,새 어린 엄마 - 무삭제판,244,20,청소년관람불가,멜로/로맨스
180,세 번째 엄마 무삭제판,244,20,청소년관람불가,멜로/로맨스
180,스와핑 민박집,244,20,청소년관람불가,멜로/로맨스
180,어린 새엄마-무삭제판,244,20,청소년관람불가,멜로/로맨스
180,어린동생-무삭제,244,20,청소년관람불가,"드라마,멜로/로맨스"
180,엄마 친구의 떡 선물-무삭제판,244,20,청소년관람불가,멜로/로맨스
180,완전한 사육: 감금의 미학,244,20,청소년관람불가,멜로/로맨스
180,음란 조선 기방,244,20,청소년관람불가,멜로/로맨스
180,이웃집 형수-무삭제,244,20,청소년관람불가,멜로/로맨스
180,조선음란기방 옥미향 명기열전,244,20,청소년관람불가,멜로/로맨스
180,친구엄마 그리고 정사-무삭제판,244,20,청소년관람불가,멜로/로맨스
180,향단이 나르샤 감독판,244,20,청소년관람불가,멜로/로맨스
198,두번째 엄마2-무삭제판,243,19,청소년관람불가,멜로/로맨스
198,새 엄마의 선물 떡 - 무삭제판,243,19,청소년관람불가,멜로/로맨스
198,새로운 엄마친구-무삭제판,243,19,청소년관람불가,멜로/로맨스
198,조선음란기방 옥미향,243,19,청소년관람불가,멜로/로맨스
202,2019 한국영화아카데미 35기 졸업영화제 실습2,239,4,,드라마
202,야한 정사의 맛 - 무삭제판,239,15,청소년관람불가,멜로/로맨스
202,착한 장모,239,20,청소년관람불가,멜로/로맨스
205,SIDOF2019_SFdrome: 주세죽/눈의 마음: 이후/스윗 골든 키위,236,2,,다큐멘터리
206,얼굴이 아니고 마음입니다,234,8,국민학생관람불가,"드라마,코미디"
207,산딸기 6,232,11,연소자관람불가,"멜로/로맨스,성인물(에로)"
208,CaFF 2018 단편경쟁 1,230,2,,기타
208,CaFF 2018 단편경쟁 3,230,2,,기타
208,SIFF2018-경쟁단편 2,230,3,,기타
208,연가시,230,4,15세이상관람가,"공포(호러),SF"
208,타워,230,4,12세이상관람가,드라마
208,해운대,230,4,12세이상관람가,"액션,드라마,어드벤처"
214,SIFF2018-통일기획전 1,225,4,,드라마
215,사돈처녀,223,20,청소년관람불가,멜로/로맨스
216,MSFF2018 절대악몽 2,222,2,,"공포(호러),판타지"
216,SIFF2018-특별단편 5,222,2,,드라마
218,우아한 거짓말,220,1,12세이상관람가,드라마
219,SIFF2018-경쟁단편 4,219,3,,기타
220,MSFF2018 미래에 관한 단상들 1,218,2,,드라마
221,SIDOF2019_모스크바 닭도리탕/오늘과 내일/94. 비디오 앨범/핑크페미,214,2,,다큐멘터리
222,길소뜸,213,14,국민학생관람불가,"드라마,전쟁"
223,미니특공대X,212,46,전체관람가,애니메이션
224,SIDOF2019_망치/75미터의 끝에서/유언,210,2,,다큐멘터리
224,국제시장,210,2,12세이상관람가,드라마
226,SPFF 2018 폐막작(단편 쇼케이스),209,2,,드라마
227,게이트,208,19,15세이상관람가,"범죄,코미디"
228,젊은엄마네하숙집,204,20,청소년관람불가,멜로/로맨스
229,MSFF2018 전년도수상작 3,203,2,,드라마
229,SIFF2018-경쟁단편 5,203,3,,기타
231,여고괴담 두번째 이야기,201,3,12세관람가,공포(호러)
232,예쁜누나,198,20,청소년관람불가,"멜로/로맨스,드라마"
233,젊은 미망인,196,21,청소년관람불가,"멜로/로맨스,드라마"
233,초대녀 2,196,22,청소년관람불가,멜로/로맨스
235,엄마 애인 2,195,20,청소년관람불가,멜로/로맨스
236,MSFF2018 전년도수상작 1,194,2,,드라마
236,다방엄마,194,22,청소년관람불가,멜로/로맨스
238,"단, 비 : 제20회 부산독립영화제 씨네보배 배급선정작 순회상영회",193,4,,기타
239,SIFF2018-경쟁단편 1,189,3,,기타
239,SIFF2018-선택단편 3,189,3,,드라마
239,가슴 큰 여자친구,189,20,청소년관람불가,멜로/로맨스
242,2018 중앙영화제 아침,188,2,,기타
242,2018 중앙영화제 일몰,188,2,,기타
242,2018 중앙영화제 저녁,188,2,,기타
242,SIFF2018-경쟁단편 3,188,3,,기타
246,수상한 노래방,187,20,청소년관람불가,멜로/로맨스
247,옆집 아가씨,186,20,청소년관람불가,멜로/로맨스
248,MSFF2018 심야상영,185,1,,"공포(호러),판타지"
249,검은 사제들,183,1,15세이상관람가,"미스터리,드라마"
250,SIDOF2019_아빠가 죽으면 나는 어떡하지?/모래,182,2,,다큐멘터리
250,나의 노래: 메아리,182,2,,다큐멘터리
252,너는 결코 서둘지 말라,180,3,,드라마
252,어린고모,180,20,청소년관람불가,"드라마,멜로/로맨스"
252,초대녀,180,21,청소년관람불가,멜로/로맨스
255,과외의 추억,179,21,청소년관람불가,멜로/로맨스
255,교회누나,179,20,청소년관람불가,"멜로/로맨스,드라마"
255,딸의 애인 2,179,20,청소년관람불가,멜로/로맨스
255,어린 누나 2,179,21,청소년관람불가,멜로/로맨스
255,음란한 모델,179,20,청소년관람불가,멜로/로맨스
260,더티웨딩,178,20,청소년관람불가,멜로/로맨스
260,어린 처제 2,178,20,청소년관람불가,멜로/로맨스
260,어린 처형,178,20,청소년관람불가,멜로/로맨스
260,이웃집 아내,178,20,청소년관람불가,"멜로/로맨스,드라마"
260,조건아빠: 슈가대디,178,20,청소년관람불가,멜로/로맨스
265,맛있는 아내,177,20,청소년관람불가,"멜로/로맨스,드라마"
265,어린 누나 3,177,20,청소년관람불가,멜로/로맨스
265,우리가족같이,177,19,청소년관람불가,멜로/로맨스
268,괴물,176,2,12세관람가,"SF,가족,드라마"
268,딸의 친구 3,176,20,청소년관람불가,멜로/로맨스
268,어린 엄마 3,176,20,청소년관람불가,멜로/로맨스
268,호우시절,176,14,15세이상관람가,멜로/로맨스
272,서울의 지붕 밑,175,8,,"코미디,드라마"
273,여배우: 섹스수업,174,20,청소년관람불가,멜로/로맨스
273,조건엄마:슈가맘,174,25,청소년관람불가,"멜로/로맨스,드라마"
273,청년경찰,174,3,15세이상관람가,액션
276,어린 형수 4,173,20,청소년관람불가,멜로/로맨스
276,여선생2,173,20,청소년관람불가,코미디
276,형부를 탐하다,173,22,청소년관람불가,"드라마,멜로/로맨스"
279,남편친구들,172,20,청소년관람불가,"드라마,멜로/로맨스"
279,"유기농 섹드립 로맨스 ""오목리 미스킴""",172,20,청소년관람불가,
281,남의 아내,171,20,청소년관람불가,"드라마,멜로/로맨스"
281,등산의 참맛,171,20,청소년관람불가,"멜로/로맨스,드라마"
281,발기찬 처가살이,171,20,청소년관람불가,"드라마,멜로/로맨스"
281,어린 엄마 2,171,20,청소년관람불가,멜로/로맨스
285,SIFF2018-특별단편 4,170,2,,기타
285,너 말고 니 언니,170,20,청소년관람불가,멜로/로맨스
285,상류시대,170,21,청소년관람불가,"멜로/로맨스,드라마"
285,천박한 누나,170,20,청소년관람불가,"드라마,멜로/로맨스"
289,가정부 길들이기,169,20,청소년관람불가,멜로/로맨스
289,내방에 일본여자가 있다,169,20,청소년관람불가,멜로/로맨스
289,스튜디오,169,20,청소년관람불가,코미디
289,어린 처제 3,169,20,청소년관람불가,멜로/로맨스
289,우리 도련님,169,20,청소년관람불가,멜로/로맨스
289,은밀한 여작가의 사생활,169,20,청소년관람불가,"멜로/로맨스,드라마"
289,음란한 병원,169,20,청소년관람불가,"드라마,멜로/로맨스"
296,왕의 남자,166,2,15세이상관람가,드라마
296,화끈한 룸메이트,166,20,청소년관람불가,"멜로/로맨스,코미디"
298,타짜의 목적 무삭제,163,20,청소년관람불가,
299,"처제는, 처제와, 처제의...",162,20,청소년관람불가,"멜로/로맨스,드라마"
300,보도드라이버: 떡마차,161,20,청소년관람불가,성인물(에로)
300,비트,161,3,연소자관람불가,"액션,멜로/로맨스,범죄"
300,알래스카 북극곰,161,20,청소년관람불가,"멜로/로맨스,드라마,코미디"
303,DIMA 방송보도제작과 영상제 ‘책갈피’ 1부 - Prologue,160,1,,기타
303,DIMA 방송보도제작과 영상제 ‘책갈피’ 2부 - Epilogue,160,1,,기타
303,SPFF 2018 국내단편 3,160,2,,드라마
306,성인용품 사용설명서,159,20,청소년관람불가,멜로/로맨스
306,착한 이모의 은밀한 아르바이트,159,20,청소년관람불가,멜로/로맨스
308,더 테러 라이브,156,1,15세이상관람가,"범죄,기타"
308,베를린,156,1,15세이상관람가,액션
310,SIFF2018-심야상영 밤새 GO,153,1,,기타
310,kqff 2018 국내단편2: 중력을 벗어나,153,2,,드라마
312,MSFF2018 전년도수상작 2,150,2,,드라마
312,"광해, 왕이 된 남자",150,4,15세이상관람가,"사극,드라마"
312,레터스,150,2,,다큐멘터리
315,kqff 2018 국내단편1: 히든 캐릭터,148,2,,드라마
316,독립협회와 청년 이승만,147,7,,드라마
317,4월 단편 상상극장-숲으로 가자,145,5,,기타
318,12 하고 24,144,7,,다큐멘터리
319,SIFF2018-선택단편 2,142,3,,기타
319,유부녀들의 맛,142,21,청소년관람불가,멜로/로맨스
321,밀애 : 친구의 아내,141,22,청소년관람불가,멜로/로맨스
322,친구엄마들,140,21,청소년관람불가,멜로/로맨스
323,금지된 섹스,139,20,청소년관람불가,멜로/로맨스
323,어린 여배우 무삭제판,139,21,청소년관람불가,멜로/로맨스
325,선녀는 몸으로 운다-감독판,138,20,청소년관람불가,멜로/로맨스
325,섹스-이웃집 여자-감독판,138,20,청소년관람불가,멜로/로맨스
325,인공지능 섹스돌,138,20,청소년관람불가,멜로/로맨스
325,젊은 누나-감독판,138,20,청소년관람불가,멜로/로맨스
325,폰 섹스의 덫-감독판,138,20,청소년관람불가,멜로/로맨스
330,"MSFF2018 시그니처: 하나의 이야기, 다른 영화 1",135,2,,드라마
330,도둑들,135,1,15세이상관람가,"액션,범죄"
332,SIFF2018-선택단편 1,132,3,,드라마
333,HYUKOH_NA_TOUR1.PRPROJ,131,6,,다큐멘터리
334,SESIFF2018 E-CUT 감독을 위하여,130,2,,기타
334,SESIFF2018 Extreme-Shorts with 윤성호,130,2,,기타
334,정사 : 착한 며느리들 2,130,22,청소년관람불가,멜로/로맨스
337,SIDOF2019_추방자들/편안한 밤/환영의 도시/거대 생명체들의 도시,129,2,,다큐멘터리
337,애인 : 아내의 남자,129,20,청소년관람불가,멜로/로맨스
337,정사 : 캠퍼스 커플,129,20,청소년관람불가,멜로/로맨스
340,달빛궁궐,128,6,전체관람가,"애니메이션,판타지,어드벤처"
340,밀애 : 부부카풀,128,20,청소년관람불가,멜로/로맨스
340,아내의 애인 2,128,20,청소년관람불가,멜로/로맨스
340,착한 형수 3,128,20,청소년관람불가,멜로/로맨스
340,하숙집 여자들,128,20,청소년관람불가,멜로/로맨스
