,순위,영화명,관객수 ,평점,상영횟수 ,대표국적 ,등급 ,장르 
0,255,미니특공대X,"100,164",7.56,"5,452",한국,전체관람가,애니메이션
1,254,딥워터 호라이즌,"101,303",8.11,"7,032",미국,12세이상관람가,"액션,드라마"
2,253,게이트,"101,381",3.67,"5,474",한국,15세이상관람가,"범죄,코미디"
3,252,레이디 버드,"101,781",8.52,"7,258",미국,15세이상관람가,"코미디,드라마"
4,251,루시드 드림,"102,170",5.9,"8,534",한국,15세이상관람가,"SF,스릴러"
5,250,레드 스패로,"108,344",8.54,"6,659",미국,청소년관람불가,스릴러
6,249,할로윈,"108,780",6.23,"9,836",미국,청소년관람불가,공포(호러)
7,248,베이블레이드 버스트 갓 : 갓 발키리의 탄생,"109,358",7.52,"2,687",일본,전체관람가,애니메이션
8,247,직쏘,"112,237",7.22,"5,753",미국,청소년관람불가,"공포(호러),스릴러,범죄"
9,246,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,"119,197",8.86,"4,442",일본,전체관람가,애니메이션
10,245,극장판 소드 아트 온라인 -오디널 스케일-,"120,921",8.96,"3,847",일본,12세이상관람가,"애니메이션,SF,액션"
11,244,루돌프와 많이있어,"126,526",8.78,"3,534",일본,전체관람가,애니메이션
12,243,킹 오브 프리즘 - 프라이드 더 히어로,"128,065",9.12,"4,280",일본,15세이상관람가,애니메이션
13,242,명탐정 코난: 에피소드 원-작아진 명탐정,"128,472",6.37,"4,172",일본,12세이상관람가,애니메이션
14,241,시간위의 집,"128,975",7.58,"10,971",한국,15세이상관람가,"미스터리,스릴러"
15,240,로마의 휴일,"134,827",6.72,"10,999",한국,15세이상관람가,"코미디,드라마"
16,239,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,"137,052",8.03,"4,066",일본,전체관람가,애니메이션
17,238,독전: 익스텐디드 컷,"137,871",7.53,"5,656",한국,15세이상관람가,"범죄,액션"
18,237,빅샤크: 매직체인지,"138,740",6.91,"4,874",중국,전체관람가,애니메이션
19,236,나를 기억해,"141,222",6.7,"14,322",한국,청소년관람불가,"미스터리,범죄,스릴러"
20,235,극장판 또봇: 로봇군단의 습격,"141,865",9.34,"3,905",한국,전체관람가,애니메이션
21,234,레고 배트맨 무비,"148,760",8.47,"5,949",미국,전체관람가,"애니메이션,액션,코미디"
22,233,비정규직 특수요원,"149,719",5.94,"11,132",한국,15세이상관람가,"코미디,액션"
23,232,다운사이징,"150,339",5.23,"8,378",미국,15세이상관람가,"드라마,코미디"
24,231,크레이지 리치 아시안,"154,297",6.82,"12,370",미국,12세이상관람가,"멜로/로맨스,코미디"
25,230,레고 닌자고 무비,"154,966",8.4,"4,751",미국,전체관람가,"애니메이션,액션,코미디,어드벤처,가족"
26,229,아토믹 블론드,"155,368",7.91,"12,300",미국,청소년관람불가,액션
27,228,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,"157,689",8.78,"5,398",일본,전체관람가,애니메이션
28,227,더 큐어,"159,948",7.21,"8,298",미국,청소년관람불가,"미스터리,스릴러"
29,226,이프 온리,"162,198",9.07,"8,859",미국,15세관람가,"코미디,드라마,판타지,멜로/로맨스"
30,225,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,"167,052",8.79,"4,274",일본,전체관람가,"애니메이션,SF,가족,어드벤처"
31,224,더 프레데터,"170,878",5.71,"17,579",미국,청소년관람불가,"SF,액션,스릴러"
32,223,채비,"177,439",8.73,"9,983",한국,12세이상관람가,드라마
33,222,유전,"177,647",5.83,"9,327",미국,15세이상관람가,공포(호러)
34,221,핵소 고지,"177,821",9.24,"8,951",미국,15세이상관람가,"드라마,전쟁"
35,220,극장판 포켓몬스터 모두의 이야기,"178,891",8.96,"4,695",일본,전체관람가,애니메이션
36,219,극장판 도라에몽: 진구의 보물섬,"183,220",8.76,"5,488",일본,전체관람가,"애니메이션,SF,어드벤처"
37,218,런닝맨 : 풀룰루의 역습,"186,921",7.72,"5,524",한국,전체관람가,애니메이션
38,217,50가지 그림자: 심연,"189,620",7.42,"8,960",미국,청소년관람불가,"드라마,멜로/로맨스"
39,216,업그레이드,"190,387",9.07,"11,549",미국,15세이상관람가,액션
40,215,발레리나,"203,293",8.57,"6,002",프랑스,전체관람가,"애니메이션,어드벤처,가족,뮤지컬"
41,214,어쌔신: 더 비기닝,"205,544",6.93,"13,441",미국,15세이상관람가,액션
42,213,한 솔로: 스타워즈 스토리,"213,980",7.86,"14,818",미국,12세이상관람가,"액션,SF"
43,212,허리케인 하이스트,"214,949",7.4,"16,363",미국,15세이상관람가,"액션,범죄"
44,211,벽 속에 숨은 마법시계,"215,029",5.95,"14,005",미국,전체관람가,"판타지,공포(호러),미스터리,SF,스릴러"
45,210,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,"215,203",8.28,"6,240",일본,전체관람가,애니메이션
46,209,속닥속닥,"217,444",4.99,"8,246",한국,15세이상관람가,"공포(호러),미스터리"
47,208,50가지 그림자: 해방,"217,785",7.96,"10,027",미국,청소년관람불가,"드라마,멜로/로맨스,스릴러"
48,207,1급기밀,"218,795",8.89,"11,357",한국,12세이상관람가,드라마
49,206,치즈인더트랩,"229,005",5.07,"14,710",한국,15세이상관람가,"멜로/로맨스,스릴러"
50,205,시카리오: 데이 오브 솔다도,"229,542",8.42,"10,977",미국,15세이상관람가,"액션,범죄,드라마"
51,204,어느날,"234,829",7.79,"17,748",한국,15세이상관람가,멜로/로맨스
52,203,아이 필 프리티,"240,297",8.58,"11,900",미국,15세이상관람가,코미디
53,202,명탐정 코난:감벽의 관,"242,603",8.4,"8,489",일본,12세이상관람가,애니메이션
54,201,미옥,"242,737",4.96,"18,143",한국,청소년관람불가,"범죄,액션"
55,200,나를 차버린 스파이,"264,766",8.01,"12,987",미국,15세이상관람가,"액션,코미디"
56,199,모털 엔진,"267,896",6.12,"15,454",미국,12세이상관람가,"액션,어드벤처,SF"
57,198,해리포터와 마법사의 돌,"267,950",9.36,"3,929",미국,전체관람가,"가족,판타지"
58,197,판도라,"271,029",8.2,"9,513",한국,12세이상관람가,"드라마,스릴러"
59,196,목소리의 형태,"276,413",8.48,"11,051",일본,전체관람가,"애니메이션,멜로/로맨스"
60,195,존 윅 - 리로드,"276,428",8.07,"11,571",미국,청소년관람불가,"액션,범죄,스릴러"
61,194,후드,"284,601",6.48,"14,338",미국,12세이상관람가,어드벤처
62,193,커뮤터,"286,062",8.13,"16,145",영국,15세이상관람가,액션
63,192,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,"306,578",8.1,"5,829",일본,전체관람가,애니메이션
64,191,트루스 오어 데어,"310,956",7.16,"17,066",미국,15세이상관람가,"공포(호러),스릴러"
65,190,번 더 스테이지: 더 무비,"315,010",9.31,"4,714",한국,전체관람가,기타
66,189,덕구,"315,663",9.44,"19,006",한국,전체관람가,드라마
67,188,빅풋 주니어,"320,545",9,"8,128",벨기에,전체관람가,"애니메이션,어드벤처,가족"
68,187,옥자,"322,206",8.46,"8,061",미국,12세이상관람가,"어드벤처,액션,드라마"
69,186,블레이드 러너 2049,"322,664",8,"16,865",미국,15세이상관람가,"SF,액션"
70,185,희생부활자,"323,628",6.01,"23,596",한국,15세이상관람가,"미스터리,스릴러"
71,184,사랑하기 때문에,"324,526",8.05,"15,214",한국,12세이상관람가,"코미디,멜로/로맨스"
72,183,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,"333,184",8.61,"7,619",일본,전체관람가,애니메이션
73,182,허스토리,"336,822",9.29,"20,406",한국,12세이상관람가,드라마
74,181,7호실,"347,823",6.55,"21,853",한국,15세이상관람가,코미디
75,180,싱글라이더,"351,276",8.33,"16,746",한국,15세이상관람가,드라마
76,179,석조저택 살인사건,"353,517",7.29,"17,925",한국,15세이상관람가,스릴러
77,178,플립,"355,767",4,"13,187",미국,12세이상관람가,"드라마,멜로/로맨스"
78,177,어쌔신 크리드,"355,913",7.07,"16,218",미국,15세이상관람가,"액션,어드벤처,판타지,SF"
79,176,대장 김창수,"381,483",6.92,"21,745",한국,12세이상관람가,드라마
80,175,보통사람,"383,336",7.96,"19,928",한국,15세이상관람가,드라마
81,174,피터 래빗,"388,300",8.76,"12,522",미국,전체관람가,"애니메이션,가족"
82,173,명탐정 코난 : 제로의 집행인,"396,230",9.05,"8,770",일본,12세이상관람가,애니메이션
83,172,몬스터 패밀리,"397,633",8.31,"8,183",독일,전체관람가,애니메이션
84,171,아메리칸 메이드,"401,541",7.76,"26,356",미국,15세이상관람가,"범죄,액션"
85,170,넛잡 2,"411,787",8.74,"10,449",한국,전체관람가,"애니메이션,어드벤처,코미디,가족"
86,169,킹 아서: 제왕의 검,"415,714",7.77,"20,315",영국,12세이상관람가,"판타지,액션,어드벤처"
87,168,흥부: 글로 세상을 바꾼 자,"416,303",4.43,"18,671",한국,12세이상관람가,사극
88,167,로그 원: 스타워즈 스토리,"422,822",8.49,"17,226",미국,12세이상관람가,"액션,어드벤처,판타지,SF"
89,166,스머프: 비밀의 숲,"427,764",8.57,"10,658",미국,전체관람가,"애니메이션,가족"
90,165,원라인,"435,142",8.17,"20,792",한국,15세이상관람가,범죄
91,164,점박이 한반도의 공룡2 : 새로운 낙원,"435,886",9.11,"7,578",한국,전체관람가,애니메이션
92,163,반드시 잡는다,"446,780",7.44,"24,559",한국,15세이상관람가,스릴러
93,162,히든 피겨스,"449,518",9.4,"19,742",미국,12세이상관람가,드라마
94,161,원더풀 고스트,"450,374",6.6,"13,999",한국,12세이상관람가,"코미디,드라마,범죄"
95,160,명탐정 코난:진홍의 연가,"450,482",8.79,"9,765",일본,12세이상관람가,애니메이션
96,159,라이프,"459,984",7.19,"27,762",미국,15세이상관람가,"SF,스릴러"
97,158,동네사람들,"461,693",5.23,"23,598",한국,15세이상관람가,"액션,스릴러"
98,157,리얼,"470,165",4.24,"25,141",한국,청소년관람불가,액션
99,156,트리플 엑스 리턴즈,"475,309",6.94,"20,692",미국,15세이상관람가,"액션,어드벤처,스릴러"
100,155,스타 이즈 본,"483,877",9.2,"25,782",미국,15세이상관람가,"드라마,멜로/로맨스"
101,154,카3: 새로운 도전,"487,916",8.46,"14,906",미국,전체관람가,"애니메이션,어드벤처,코미디,가족"
102,153,변산,"490,519",7.72,"27,504",한국,15세이상관람가,드라마
103,152,곰돌이 푸 다시 만나 행복해,"492,201",8.98,"21,601",미국,전체관람가,어드벤처
104,151,침묵,"494,097",7.91,"23,228",한국,15세이상관람가,드라마
105,150,그레이트 월,"501,486",6.3,"23,094",미국,12세이상관람가,"판타지,액션"
106,149,셰이프 오브 워터: 사랑의 모양,"507,102",8.34,"20,200",미국,청소년관람불가,"어드벤처,판타지"
107,148,극장판 포켓몬스터 너로 정했다!,"509,555",8.84,"10,449",일본,전체관람가,"애니메이션,어드벤처,가족"
108,147,발레리안: 천 개 행성의 도시,"511,931",7.79,"23,405",프랑스,12세이상관람가,"액션,어드벤처,SF"
109,146,호두까기 인형과 4개의 왕국,"515,817",7.14,"14,279",미국,전체관람가,"판타지,드라마"
110,145,그린치,"517,888",8.33,"11,670",미국,전체관람가,"애니메이션,코미디"
111,144,얼라이드,"518,886",8.91,"19,875",미국,15세이상관람가,"스릴러,드라마,멜로/로맨스"
112,143,콰이어트 플레이스,"526,073",8.28,"30,760",미국,15세이상관람가,"공포(호러),스릴러,드라마"
113,142,메가로돈,"527,962",5.65,"16,459",미국,12세이상관람가,"액션,공포(호러),SF"
114,141,7년의 밤,"528,007",4.77,"26,804",한국,15세이상관람가,"스릴러,드라마"
115,140,버닝,"528,435",6.72,"26,514",한국,청소년관람불가,미스터리
116,139,페르디난드,"535,434",8.89,"13,798",미국,전체관람가,"애니메이션,어드벤처,코미디"
117,138,메리와 마녀의 꽃,"535,669",7.09,"21,405",일본,전체관람가,"애니메이션,어드벤처"
118,137,툼레이더,"540,410",6.36,"31,823",미국,12세이상관람가,"액션,어드벤처"
119,136,인시디어스4: 라스트 키,"554,521",6.83,"23,869",미국,15세이상관람가,"공포(호러),미스터리,스릴러"
120,135,47 미터,"590,045",6.89,"20,457",영국,15세이상관람가,"스릴러,공포(호러)"
121,134,컨택트,"634,150",8.26,"22,770",미국,12세이상관람가,"SF,드라마,스릴러"
122,133,아빠는 딸,"647,305",8.06,"33,263",한국,12세이상관람가,코미디
123,132,스파이더맨: 뉴 유니버스,"653,221",9.21,"22,361",미국,12세이상관람가,"애니메이션,액션,가족"
124,131,퍼스트맨,"665,364",6.97,"40,580",미국,12세이상관람가,"SF,드라마"
125,130,씽,"667,598",9.39,"17,191",미국,전체관람가,"애니메이션,뮤지컬"
126,129,패신저스,"668,576",8.02,"21,517",미국,12세이상관람가,"어드벤처,SF"
127,128,트롤,"675,966",8.7,"18,387",미국,전체관람가,애니메이션
128,127,신비아파트: 금빛 도깨비와 비밀의 동굴,"678,091",8.71,"16,175",한국,전체관람가,"애니메이션,판타지,어드벤처"
129,126,미쓰백,"722,182",9.1,"41,961",한국,15세이상관람가,드라마
130,125,물괴,"723,622",4.81,"46,022",한국,15세이상관람가,"액션,사극"
131,124,공각기동대 : 고스트 인 더 쉘,"764,072",6.96,"36,261",미국,15세이상관람가,"SF,범죄,액션"
132,123,레지던트 이블: 파멸의 날,"765,259",8.38,"24,450",미국,청소년관람불가,"액션,공포(호러),SF,스릴러"
133,122,상류사회,"768,442",4.23,"41,725",한국,청소년관람불가,드라마
134,121,레슬러,"771,141",8,"43,079",한국,15세이상관람가,"드라마,코미디"
135,120,베이비 드라이버,"823,624",7.98,"40,566",영국,15세이상관람가,"액션,범죄,스릴러"
136,119,뽀로로 극장판 공룡섬 대모험,"827,335",9.18,"19,948",한국,전체관람가,애니메이션
137,118,대립군,"837,500",7.29,"29,085",한국,15세이상관람가,"드라마,사극"
138,117,오리엔트 특급 살인,"864,757",7.48,"35,102",미국,12세이상관람가,"드라마,미스터리,범죄"
139,116,극장판 헬로카봇 : 백악기 시대,"879,449",9.23,"16,173",한국,전체관람가,애니메이션
141,114,인랑,"898,945",3.87,"25,427",한국,15세이상관람가,"SF,액션"
142,113,불한당: 나쁜 놈들의 세상,"954,444",6.5,"38,922",한국,청소년관람불가,"범죄,액션,드라마"
143,112,스타워즈: 라스트 제다이,"959,577",6.34,"31,231",미국,12세이상관람가,"액션,어드벤처,판타지,SF"
144,111,염력,"990,104",4.99,"45,623",한국,15세이상관람가,"드라마,코미디"
145,110,스카이스크래퍼,"1,002,858",7.57,"40,862",미국,12세이상관람가,"액션,스릴러"
146,109,더 넌,"1,011,580",6.67,"32,736",미국,15세이상관람가,공포(호러)
147,108,지오스톰,"1,028,384",7.45,"35,453",미국,12세이상관람가,"액션,SF,스릴러"
148,107,몬스터 호텔 3,"1,072,220",8.59,"21,247",미국,전체관람가,"애니메이션,코미디,가족,판타지"
149,106,퍼시픽 림: 업라이징,"1,077,235",6.61,"49,600",미국,15세이상관람가,"액션,어드벤처,SF"
150,105,챔피언,"1,128,774",6.3,"47,320",한국,12세이상관람가,드라마
151,104,하루,"1,129,609",7.05,"45,808",한국,15세이상관람가,스릴러
152,103,바람 바람 바람,"1,194,229",6.19,"57,939",한국,청소년관람불가,코미디
153,102,해빙,"1,204,600",6.5,"46,227",한국,15세이상관람가,스릴러
154,101,악녀,"1,208,081",6.97,"46,070",한국,청소년관람불가,액션
155,100,라라랜드,"1,213,280",8.62,"38,419",미국,12세이상관람가,"드라마,뮤지컬,멜로/로맨스"
156,99,범블비,"1,299,768",8.09,"28,779",미국,12세이상관람가,"액션,어드벤처,SF"
157,98,장산범,"1,306,438",6.06,"34,769",한국,15세이상관람가,"미스터리,스릴러"
158,97,에이리언: 커버넌트,"1,307,226",8.1,"41,761",미국,15세이상관람가,"SF,스릴러"
159,96,사라진 밤,"1,315,726",7.04,"60,087",한국,15세이상관람가,스릴러
160,95,스윙키즈,"1,324,984",8.42,"33,546",한국,12세이상관람가,드라마
161,94,오션스8,"1,335,829",7.64,"55,372",미국,12세이상관람가,"액션,범죄"
162,93,궁합,"1,340,117",6.45,"52,427",한국,12세이상관람가,"코미디,드라마"
163,92,특별시민,"1,362,634",7.38,"46,377",한국,15세이상관람가,드라마
164,91,브이아이피,"1,373,316",6.53,"44,650",한국,청소년관람불가,"범죄,드라마"
165,90,PMC: 더 벙커,"1,374,890",5.19,"30,220",한국,15세이상관람가,액션
166,89,해피 데스데이,"1,382,650",1.75,"52,101",미국,15세이상관람가,"공포(호러),미스터리,스릴러"
167,88,램페이지,"1,385,511",8.29,"55,295",미국,12세이상관람가,액션
168,87,골든슬럼버,"1,387,508",5.15,"42,991",한국,15세이상관람가,"범죄,드라마"
169,86,기억의 밤,"1,387,779",8.19,"53,003",한국,15세이상관람가,"미스터리,스릴러"
170,85,위대한 쇼맨,"1,403,019",9.41,"36,360",미국,12세이상관람가,"드라마,뮤지컬"
171,84,부라더,"1,492,903",7.27,"54,976",한국,12세이상관람가,코미디
172,83,리틀 포레스트,"1,506,269",8.84,"68,414",한국,전체관람가,드라마
173,82,도어락,"1,559,945",5.84,"53,750",한국,15세이상관람가,"스릴러,드라마"
174,81,성난황소,"1,593,386",7.47,"48,932",한국,15세이상관람가,"범죄,액션"
175,80,창궐,"1,599,290",5.06,"60,687",한국,15세이상관람가,"사극,액션"
176,79,임금님의 사건수첩,"1,635,003",7.72,"53,005",한국,12세이상관람가,"코미디,어드벤처,액션"
177,78,23 아이덴티티,"1,675,819",7.66,"44,104",미국,15세이상관람가,스릴러
178,77,콩: 스컬 아일랜드,"1,689,717",7.77,"56,425",미국,12세이상관람가,"액션,어드벤처,판타지"
179,76,쥬만지: 새로운 세계,"1,711,246",7.89,"41,818",미국,12세이상관람가,"액션,어드벤처"
180,75,킬러의 보디가드,"1,721,824",7.09,"42,005",미국,15세이상관람가,"액션,코미디"
181,74,저스티스 리그,"1,786,386",7.68,"73,393",미국,12세이상관람가,"액션,어드벤처,판타지,SF"
182,73,마약왕,"1,832,842",6.34,"42,363",한국,청소년관람불가,"범죄,드라마"
183,72,노무현입니다,"1,855,489",6.8,"61,330",한국,12세이상관람가,다큐멘터리
184,71,애나벨 : 인형의 주인,"1,934,270",7.3,"35,103",미국,15세이상관람가,공포(호러)
185,70,협상,"1,967,721",7.32,"57,926",한국,15세이상관람가,범죄
186,69,혹성탈출: 종의 전쟁,"2,051,315",7.93,"44,543",미국,12세이상관람가,"액션,어드벤처,드라마,SF"
187,68,명당,"2,087,474",7.06,"58,450",한국,12세이상관람가,사극
188,67,겟 아웃,"2,138,425",4.25,"56,550",미국,15세이상관람가,"공포(호러),미스터리,스릴러,드라마"
189,66,원더 우먼,"2,165,401",5.12,"57,818",미국,12세이상관람가,"액션,어드벤처,판타지,SF"
190,65,로건,"2,169,109",9.07,"68,709",미국,청소년관람불가,"액션,SF"
191,64,마스터,"2,215,266",8.11,"56,141",한국,15세이상관람가,"액션,범죄"
192,63,레디 플레이어 원,"2,254,430",8.53,"77,173",미국,12세이상관람가,"액션,SF,어드벤처"
193,62,맘마미아!2,"2,293,884",8.98,"59,060",미국,12세이상관람가,뮤지컬
194,61,메이즈 러너: 데스 큐어,"2,299,732",7.84,"58,918",미국,12세이상관람가,"액션,SF,스릴러"
195,60,모아나,"2,310,206",9.18,"53,162",미국,전체관람가,애니메이션
196,59,박열,"2,359,497",8.12,"78,501",한국,12세이상관람가,드라마
197,58,신비한 동물들과 그린델왈드의 범죄,"2,414,062",6.17,"76,846",미국,12세이상관람가,판타지
198,57,재심,"2,421,197",8.52,"68,402",한국,15세이상관람가,드라마
199,56,조선명탐정: 흡혈괴마의 비밀,"2,444,136",6.64,"74,953",한국,12세이상관람가,"사극,어드벤처,코미디"
200,55,보스 베이비,"2,452,245",8.99,"48,379",미국,전체관람가,"애니메이션,코미디,가족"
201,54,조작된 도시,"2,515,501",8.06,"62,241",한국,15세이상관람가,"범죄,액션"
202,53,목격자,"2,524,720",4.76,"71,403",한국,15세이상관람가,스릴러
203,52,보안관,"2,588,628",7.89,"63,709",한국,15세이상관람가,"범죄,코미디"
204,51,지금 만나러 갑니다,"2,602,273",8.75,"97,482",한국,12세이상관람가,멜로/로맨스
205,50,트랜스포머: 최후의 기사,"2,614,601",6.27,"87,234",미국,12세이상관람가,"액션,어드벤처,SF"
206,49,살인자의 기억법,"2,658,589",7.69,"88,686",한국,15세이상관람가,"범죄,스릴러"
207,48,곤지암,"2,675,575",6.39,"88,477",한국,15세이상관람가,"공포(호러),스릴러"
208,47,가디언즈 오브 갤럭시 VOL. 2,"2,736,060",8.94,"63,801",미국,12세이상관람가,"액션,SF"
209,46,덩케르크,"2,792,705",3.5,"66,005",미국,12세이상관람가,"액션,드라마,스릴러,전쟁"
210,45,너의 결혼식,"2,820,969",8.42,"98,193",한국,12세이상관람가,멜로/로맨스
211,44,프리즌,"2,931,897",7.57,"89,024",한국,청소년관람불가,"범죄,액션"
212,43,서치,"2,949,944",8.93,"95,758",미국,12세이상관람가,드라마
213,42,인크레더블 2,"3,033,052",9.22,"70,934",미국,전체관람가,"애니메이션,액션,어드벤처,코미디,가족"
214,41,캐리비안의 해적: 죽은 자는 말이 없다,"3,049,894",8.29,"85,225",미국,12세이상관람가,"액션,어드벤처,판타지,코미디"
215,40,탐정: 리턴즈,"3,152,872",8.4,"107,907",한국,15세이상관람가,"코미디,범죄"
216,39,마녀,"3,189,091",8.22,"90,843",한국,15세이상관람가,"미스터리,액션"
217,38,아이 캔 스피크,"3,282,271",9.38,"93,061",한국,12세이상관람가,코미디
218,37,슈퍼배드 3,"3,324,874",8.69,"59,388",미국,전체관람가,애니메이션
219,36,그것만이 내 세상,"3,419,753",8.95,"95,432",한국,12세이상관람가,"코미디,드라마"
220,35,코코,"3,513,114",8.98,"85,934",미국,전체관람가,애니메이션
221,34,분노의 질주: 더 익스트림,"3,653,238",8.96,"113,241",미국,15세이상관람가,"액션,범죄,스릴러"
222,33,너의 이름은.,"3,675,834",8.8,"84,176",일본,12세이상관람가,"애니메이션,드라마,멜로/로맨스"
223,32,미이라,"3,689,325",2.85,"105,228",미국,15세이상관람가,"액션,어드벤처,판타지"
224,31,국가부도의 날,"3,749,076",8.12,"100,832",한국,12세이상관람가,드라마
225,30,데드풀 2,"3,784,602",8.69,"113,288",미국,청소년관람불가,"액션,어드벤처,코미디,SF"
226,29,암수살인,"3,789,321",8.33,"126,127",한국,15세이상관람가,"범죄,드라마"
227,28,남한산성,"3,849,129",8.11,"71,102",한국,15세이상관람가,"사극,드라마"
228,27,아쿠아맨,"3,875,963",10,"59,099",미국,12세이상관람가,액션
229,26,베놈,"3,888,096",6.07,"116,149",미국,15세이상관람가,"액션,SF,스릴러"
230,25,꾼,"4,018,341",7.63,"117,419",한국,15세이상관람가,범죄
231,24,강철비,"4,452,740",4.98,"80,358",한국,15세이상관람가,"액션,드라마"
232,23,토르: 라그나로크,"4,858,572",8.85,"137,496",미국,12세이상관람가,"액션,어드벤처,판타지,SF"
233,22,킹스맨: 골든 서클,"4,945,484",8.36,"95,922",미국,청소년관람불가,"액션,어드벤처,코미디"
234,21,공작,"4,974,520",6.84,"99,001",한국,12세이상관람가,드라마
235,20,독전,"5,063,684",7.53,"140,007",한국,15세이상관람가,"범죄,액션"
236,19,미녀와 야수,"5,138,328",8.78,"140,561",미국,전체관람가,"멜로/로맨스,판타지,뮤지컬"
237,18,완벽한 타인,"5,293,971",8.61,"143,063",한국,15세이상관람가,"드라마,코미디"
238,17,더 킹,"5,317,693",8.09,"107,983",한국,15세이상관람가,"범죄,드라마"
239,16,블랙 팬서,"5,399,227",10,"119,170",미국,12세이상관람가,"액션,드라마,SF"
240,15,안시성,"5,440,186",7.99,"110,439",한국,12세이상관람가,"사극,액션"
241,14,앤트맨과 와스프,"5,448,134",8.62,"148,244",미국,12세이상관람가,"액션,어드벤처,SF"
242,13,청년경찰,"5,653,444",8.26,"118,547",한국,15세이상관람가,액션
243,12,쥬라기 월드: 폴른 킹덤,"5,661,128",8,"144,779",미국,12세이상관람가,"액션,어드벤처,SF"
244,11,미션 임파서블: 폴아웃,"6,584,915",9.12,"101,374",미국,15세이상관람가,"액션,스릴러"
245,10,군함도,"6,592,151",5.3,"108,775",한국,15세이상관람가,"액션,드라마"
246,9,범죄도시,"6,880,546",9.52,"149,389",한국,청소년관람불가,"범죄,액션"
247,8,1987,"7,232,387",9.23,"138,226",한국,15세이상관람가,드라마
248,7,스파이더맨: 홈 커밍,"7,258,678",8.32,"164,448",미국,12세이상관람가,"액션,어드벤처,SF"
249,6,공조,"7,817,654",8.27,"142,991",한국,15세이상관람가,액션
250,5,보헤미안 랩소디,"9,360,461",9.42,"206,409",미국,12세이상관람가,드라마
251,4,어벤져스: 인피니티 워,"11,212,710",9.38,"240,501",미국,12세이상관람가,"액션,어드벤처,판타지,SF"
252,3,택시운전사,"12,189,195",9.03,"184,145",한국,15세이상관람가,드라마
253,2,신과함께-인과 연,"12,274,996",7.71,"179,981",한국,12세이상관람가,"판타지,드라마"
254,1,신과함께-죄와 벌,"14,411,502",7.83,"213,262",한국,12세이상관람가,"판타지,드라마"
